8-12;[9,13,3];[8,9,14,13,12,3,12];142.0;[9.0,13.0,3.0];10;15;[2.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00019693374633789062
1-14;[5,10,6];[1,2,3,4,5,6,14,9,10,9,14];207.0;[5.0,6.0,10.0];34;27;[1.0,7.0,5.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023484230041503906
0-9;[10,8,5];[0,1,2,3,4,5,6,14,9,10,9,8,9];251.0;[5.0,10.0,8.0];42;32;[1.0,6.0,5.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00014543533325195312
8-11;[1,3,10];[8,9,10,11,12,3,2,1,0,11];256.0;[10.0,3.0,1.0];24;21;[2.0,5.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003070831298828125
0-10;[6,4,1];[0,1,2,3,4,5,6,14,9,10];190.0;[1.0,4.0,6.0];7;12;[2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00022983551025390625
3-7;[9,12,5];[3,12,3,4,5,6,14,9,8,7];171.0;[12.0,5.0,9.0];9;13;[2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00026607513427734375
3-9;[11,14,2];[3,2,3,12,11,13,14,9];173.0;[2.0,11.0,14.0];10;19;[1.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002677440643310547
2-14;[3,10,11];[2,3,12,11,10,9,14];180.0;[3.0,11.0,10.0];8;14;[2.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023412704467773438
10-12;[3,1,5];[10,9,14,6,5,4,3,2,1,2,3,12];201.0;[5.0,3.0,1.0];23;13;[2.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00028061866760253906
7-12;[1,5,10];[7,8,9,10,9,14,6,5,4,3,2,1,2,3,12];266.0;[10.0,5.0,1.0];20;28;[1.0,7.0,9.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002853870391845703
7-11;[4,12,2];[7,6,5,4,3,2,3,12,11];187.0;[4.0,2.0,12.0];14;12;[2.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];6.985664367675781e-05
9-12;[11,7,3];[9,8,7,6,13,11,12,3,12];195.0;[7.0,11.0,3.0];13;16;[2.0,6.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002760887145996094
1-6;[9,7,12];[1,2,3,12,13,14,9,8,7,6];215.0;[12.0,9.0,7.0];23;22;[2.0,5.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002455711364746094
0-14;[2,10,13];[0,1,2,3,12,13,14,9,10,9,14];241.0;[2.0,13.0,10.0];19;24;[1.0,9.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023651123046875
9-11;[2,5,1];[9,14,6,5,4,3,2,1,0,11];202.0;[5.0,2.0,1.0];16;15;[2.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002579689025878906
4-10;[11,12,13];[4,5,6,13,12,11,10];201.0;[13.0,12.0,11.0];30;25;[1.0,7.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002970695495605469
3-14;[5,8,2];[3,2,3,4,5,6,14,9,8,9,14];194.0;[2.0,5.0,8.0];18;23;[1.0,9.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00016641616821289062
2-6;[8,0,5];[2,1,0,1,2,3,4,5,6,14,9,8,9,14,6];272.0;[0.0,5.0,8.0];33;37;[1.0,5.0,9.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002727508544921875
10-13;[6,8,9];[10,9,8,9,14,6,13];122.0;[9.0,8.0,6.0];15;21;[1.0,8.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0001800060272216797
4-11;[6,14,2];[4,5,6,14,6,5,4,3,2,3,12,11];214.0;[6.0,14.0,2.0];34;38;[0.0,9.0,10.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00018215179443359375
4-8;[1,13,10];[4,3,2,1,2,3,12,13,14,9,10,9,8];277.0;[1.0,13.0,10.0];19;27;[1.0,7.0,10.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00025963783264160156
0-5;[3,11,8];[0,11,12,3,4,5,6,14,9,8,9,14,6,5];277.0;[11.0,3.0,8.0];34;34;[1.0,6.0,6.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002694129943847656
0-6;[2,9,13];[0,1,2,3,12,13,14,9,14,6];204.0;[2.0,13.0,9.0];16;18;[2.0,6.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00032639503479003906
1-13;[4,14,8];[1,2,3,4,5,6,14,9,8,9,14,13];226.0;[4.0,14.0,8.0];24;17;[2.0,5.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023555755615234375
1-5;[11,6,14];[1,0,11,13,14,6,5];178.0;[11.0,14.0,6.0];20;15;[2.0,6.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00020360946655273438
12-14;[7,8,4];[12,3,4,5,6,7,8,9,14];179.0;[4.0,7.0,8.0];15;16;[2.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00018334388732910156
